gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000118503	TNFAIP3	TNF alpha induced protein 3	6q23.3	protein_coding	11	969	1.14	178	16508	1.08	1094	167	15.27	260	23.77	11	Cancer Gene Census
ENSG00000118513	MYB	MYB proto-oncogene, transcription factor	6q23.3	protein_coding	11	969	1.14	209	16508	1.27	1094	171	15.63	262	23.95	11	Cancer Gene Census
ENSG00000122512	PMS2	PMS1 homolog 2, mismatch repair system component	7p22.1	protein_coding	11	969	1.14	222	16508	1.34	1094	307	28.06	89	8.14	12	Cancer Gene Census
ENSG00000122778	KIAA1549	KIAA1549	7q34	protein_coding	11	969	1.14	469	16508	2.84	1094	270	24.68	119	10.88	13	Cancer Gene Census
ENSG00000124181	PLCG1	phospholipase C gamma 1	20q12	protein_coding	11	969	1.14	255	16508	1.54	1094	395	36.11	55	5.03	12	Cancer Gene Census
ENSG00000126012	KDM5C	lysine demethylase 5C	Xp11.22	protein_coding	11	969	1.14	387	16508	2.34	1094	0	0.00	0	0.00	12	Cancer Gene Census
ENSG00000128052	KDR	kinase insert domain receptor	4q12	protein_coding	11	969	1.14	503	16508	3.05	1094	138	12.61	189	17.28	12	Cancer Gene Census
ENSG00000133895	MEN1	menin 1	11q13.1	protein_coding	11	969	1.14	163	16508	0.99	1094	167	15.27	194	17.73	13	Cancer Gene Census
ENSG00000137497	NUMA1	nuclear mitotic apparatus protein 1	11q13.4	protein_coding	11	969	1.14	358	16508	2.17	1094	222	20.29	192	17.55	14	Cancer Gene Census
ENSG00000138448	ITGAV	integrin subunit alpha V	2q32.1	protein_coding	11	969	1.14	262	16508	1.59	1094	126	11.52	144	13.16	12	Cancer Gene Census
ENSG00000139219	COL2A1	collagen type II alpha 1 chain	12q13.11	protein_coding	11	969	1.14	410	16508	2.48	1094	167	15.27	107	9.78	11	Cancer Gene Census
ENSG00000144554	FANCD2	FA complementation group D2	3p25.3	protein_coding	11	969	1.14	272	16508	1.65	1094	179	16.36	126	11.52	11	Cancer Gene Census
ENSG00000148400	NOTCH1	notch receptor 1	9q34.3	protein_coding	11	969	1.14	812	16508	4.92	1094	135	12.34	204	18.65	12	Cancer Gene Census
ENSG00000148516	ZEB1	zinc finger E-box binding homeobox 1	10p11.22	protein_coding	11	969	1.14	390	16508	2.36	1094	219	20.02	120	10.97	11	Cancer Gene Census
ENSG00000154767	XPC	XPC complex subunit, DNA damage recognition and repair factor	3p25.1	protein_coding	11	969	1.14	144	16508	0.87	1094	169	15.45	135	12.34	12	Cancer Gene Census
ENSG00000163930	BAP1	BRCA1 associated protein 1	3p21.1	protein_coding	11	969	1.14	333	16508	2.02	1094	76	6.95	277	25.32	11	Cancer Gene Census
ENSG00000165731	RET	ret proto-oncogene	10q11.21	protein_coding	11	969	1.14	365	16508	2.21	1094	175	16.00	145	13.25	11	Cancer Gene Census
ENSG00000168542	COL3A1	collagen type III alpha 1 chain	2q32.2	protein_coding	11	969	1.14	587	16508	3.56	1094	127	11.61	148	13.53	12	Cancer Gene Census
ENSG00000169083	AR	androgen receptor	Xq12	protein_coding	11	969	1.14	343	16508	2.08	1094	0	0.00	0	0.00	11	Cancer Gene Census
ENSG00000197013	ZNF429	zinc finger protein 429	19p12	protein_coding	11	969	1.14	199	16508	1.21	1094	208	19.01	125	11.43	11	Cancer Gene Census
ENSG00000197323	TRIM33	tripartite motif containing 33	1p13.2	protein_coding	11	969	1.14	213	16508	1.29	1094	160	14.63	230	21.02	12	Cancer Gene Census
ENSG00000198604	BAZ1A	bromodomain adjacent to zinc finger domain 1A	14q13.1, 14q13.2	protein_coding	11	969	1.14	270	16508	1.64	1094	190	17.37	156	14.26	12	Cancer Gene Census
ENSG00000064933	PMS1	PMS1 homolog 1, mismatch repair system component	2q32.2	protein_coding	10	969	1.03	183	16508	1.11	1094	123	11.24	148	13.53	10	Cancer Gene Census
ENSG00000072364	AFF4	AF4/FMR2 family member 4	5q31.1	protein_coding	10	969	1.03	241	16508	1.46	1094	166	15.17	191	17.46	10	Cancer Gene Census
ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	1p36.13	protein_coding	10	969	1.03	276	16508	1.67	1094	66	6.03	376	34.37	10	Cancer Gene Census
ENSG00000078177	N4BP2	NEDD4 binding protein 2	4p14	protein_coding	10	969	1.03	305	16508	1.85	1094	89	8.14	262	23.95	11	Cancer Gene Census
ENSG00000079112	CDH17	cadherin 17	8q22.1	protein_coding	10	969	1.03	264	16508	1.60	1094	619	56.58	24	2.19	10	Cancer Gene Census
ENSG00000083093	PALB2	partner and localizer of BRCA2	16p12.2	protein_coding	10	969	1.03	234	16508	1.42	1094	486	44.42	52	4.75	10	Cancer Gene Census
ENSG00000096384	HSP90AB1	heat shock protein 90 alpha family class B member 1	6p21.1	protein_coding	10	969	1.03	201	16508	1.22	1094	221	20.20	125	11.43	11	Cancer Gene Census
ENSG00000096968	JAK2	Janus kinase 2	9p24.1	protein_coding	10	969	1.03	291	16508	1.76	1094	169	15.45	264	24.13	10	Cancer Gene Census
ENSG00000101115	SALL4	spalt like transcription factor 4	20q13.2	protein_coding	10	969	1.03	374	16508	2.27	1094	460	42.05	29	2.65	10	Cancer Gene Census
ENSG00000103126	AXIN1	axin 1	16p13.3	protein_coding	10	969	1.03	244	16508	1.48	1094	92	8.41	17	1.55	10	Cancer Gene Census
ENSG00000105976	MET	MET proto-oncogene, receptor tyrosine kinase	7q31.2	protein_coding	10	969	1.03	350	16508	2.12	1094	255	23.31	124	11.33	12	Cancer Gene Census
ENSG00000108375	RNF43	ring finger protein 43	17q22	protein_coding	10	969	1.03	404	16508	2.45	1094	366	33.46	133	12.16	8	Cancer Gene Census
ENSG00000113360	DROSHA	drosha ribonuclease III	5p13.3	protein_coding	10	969	1.03	282	16508	1.71	1094	313	28.61	74	6.76	11	Cancer Gene Census
ENSG00000113721	PDGFRB	platelet derived growth factor receptor beta	5q32	protein_coding	10	969	1.03	264	16508	1.60	1094	182	16.64	168	15.36	10	Cancer Gene Census
ENSG00000114861	FOXP1	forkhead box P1	3p13	protein_coding	10	969	1.03	282	16508	1.71	1094	94	8.59	261	23.86	11	Cancer Gene Census
ENSG00000116062	MSH6	mutS homolog 6	2p16.3	protein_coding	10	969	1.03	318	16508	1.93	1094	174	15.90	102	9.32	12	Cancer Gene Census
ENSG00000116731	PRDM2	PR/SET domain 2	1p36.21	protein_coding	10	969	1.03	333	16508	2.02	1094	58	5.30	367	33.55	11	Cancer Gene Census
ENSG00000122779	TRIM24	tripartite motif containing 24	7q33, 7q34	protein_coding	10	969	1.03	236	16508	1.43	1094	270	24.68	119	10.88	10	Cancer Gene Census
ENSG00000126777	KTN1	kinectin 1	14q22.3	protein_coding	10	969	1.03	214	16508	1.30	1094	158	14.44	207	18.92	10	Cancer Gene Census
ENSG00000152217	SETBP1	SET binding protein 1	18q12.3	protein_coding	10	969	1.03	534	16508	3.23	1094	147	13.44	271	24.77	12	Cancer Gene Census
ENSG00000157404	KIT	KIT proto-oncogene, receptor tyrosine kinase	4q12	protein_coding	10	969	1.03	338	16508	2.05	1094	139	12.71	189	17.28	11	Cancer Gene Census
ENSG00000162434	JAK1	Janus kinase 1	1p31.3	protein_coding	10	969	1.03	373	16508	2.26	1094	138	12.61	265	24.22	11	Cancer Gene Census
ENSG00000163939	PBRM1	polybromo 1	3p21.1	protein_coding	10	969	1.03	580	16508	3.51	1094	77	7.04	276	25.23	11	Cancer Gene Census
ENSG00000166888	STAT6	signal transducer and activator of transcription 6	12q13.3	protein_coding	10	969	1.03	166	16508	1.01	1094	171	15.63	102	9.32	14	Cancer Gene Census
ENSG00000168610	STAT3	signal transducer and activator of transcription 3	17q21.2	protein_coding	10	969	1.03	215	16508	1.30	1094	206	18.83	287	26.23	10	Cancer Gene Census
ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1	1p36.31, 1p36.23	protein_coding	10	969	1.03	482	16508	2.92	1094	76	6.95	355	32.45	11	Cancer Gene Census
ENSG00000177565	TBL1XR1	TBL1X receptor 1	3q26.32	protein_coding	10	969	1.03	194	16508	1.18	1094	277	25.32	39	3.56	10	Cancer Gene Census
ENSG00000179399	GPC5	glypican 5	13q31.3	protein_coding	10	969	1.03	337	16508	2.04	1094	141	12.89	326	29.80	10	Cancer Gene Census
ENSG00000196498	NCOR2	nuclear receptor corepressor 2	12q24.31	protein_coding	10	969	1.03	514	16508	3.11	1094	165	15.08	159	14.53	10	Cancer Gene Census
ENSG00000196914	ARHGEF12	Rho guanine nucleotide exchange factor 12	11q23.3	protein_coding	10	969	1.03	306	16508	1.85	1094	82	7.50	479	43.78	13	Cancer Gene Census
ENSG00000215301	DDX3X	DEAD-box helicase 3 X-linked	Xp11.4	protein_coding	10	969	1.03	309	16508	1.87	1094	0	0.00	0	0.00	10	Cancer Gene Census
ENSG00000006468	ETV1	ETS variant transcription factor 1	7p21.2	protein_coding	9	969	0.93	230	16508	1.39	1094	311	28.43	85	7.77	9	Cancer Gene Census
ENSG00000044524	EPHA3	EPH receptor A3	3p11.1	protein_coding	9	969	0.93	526	16508	3.19	1094	146	13.35	116	10.60	9	Cancer Gene Census
ENSG00000054118	THRAP3	thyroid hormone receptor associated protein 3	1p34.3	protein_coding	9	969	0.93	230	16508	1.39	1094	132	12.07	260	23.77	10	Cancer Gene Census
ENSG00000057657	PRDM1	PR/SET domain 1	6q21	protein_coding	9	969	0.93	272	16508	1.65	1094	172	15.72	287	26.23	9	Cancer Gene Census
ENSG00000073792	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	3q27.2	protein_coding	9	969	0.93	185	16508	1.12	1094	269	24.59	48	4.39	10	Cancer Gene Census
ENSG00000078061	ARAF	A-Raf proto-oncogene, serine/threonine kinase	Xp11.3	protein_coding	9	969	0.93	179	16508	1.08	1094	0	0.00	0	0.00	11	Cancer Gene Census
ENSG00000085832	EPS15	epidermal growth factor receptor pathway substrate 15	1p32.3	protein_coding	9	969	0.93	184	16508	1.11	1094	143	13.07	250	22.85	10	Cancer Gene Census
ENSG00000088038	CNOT3	CCR4-NOT transcription complex subunit 3	19q13.42	protein_coding	9	969	0.93	220	16508	1.33	1094	253	23.13	94	8.59	9	Cancer Gene Census
ENSG00000107929	LARP4B	La ribonucleoprotein 4B	10p15.3	protein_coding	9	969	0.93	268	16508	1.62	1094	266	24.31	108	9.87	10	Cancer Gene Census
ENSG00000108654	DDX5	DEAD-box helicase 5	17q23.3	protein_coding	9	969	0.93	164	16508	0.99	1094	392	35.83	107	9.78	9	Cancer Gene Census
ENSG00000110619	CARS1	cysteinyl-tRNA synthetase 1	11p15.4	protein_coding	9	969	0.93	186	16508	1.13	1094	129	11.79	237	21.66	9	Cancer Gene Census
ENSG00000116016	EPAS1	endothelial PAS domain protein 1	2p21	protein_coding	9	969	0.93	212	16508	1.28	1094	169	15.45	110	10.05	10	Cancer Gene Census
ENSG00000117020	AKT3	AKT serine/threonine kinase 3	1q43, 1q44	protein_coding	9	969	0.93	156	16508	0.94	1094	763	69.74	26	2.38	9	Cancer Gene Census
ENSG00000119772	DNMT3A	DNA methyltransferase 3 alpha	2p23.3	protein_coding	9	969	0.93	338	16508	2.05	1094	156	14.26	141	12.89	11	Cancer Gene Census
ENSG00000121289	CEP89	centrosomal protein 89	19q13.11	protein_coding	9	969	0.93	178	16508	1.08	1094	250	22.85	93	8.50	9	Cancer Gene Census
ENSG00000126883	NUP214	nucleoporin 214	9q34.13	protein_coding	9	969	0.93	360	16508	2.18	1094	135	12.34	204	18.65	10	Cancer Gene Census
ENSG00000127946	HIP1	huntingtin interacting protein 1	7q11.23	protein_coding	9	969	0.93	227	16508	1.38	1094	265	24.22	86	7.86	10	Cancer Gene Census
ENSG00000128602	SMO	smoothened, frizzled class receptor	7q32.1	protein_coding	9	969	0.93	199	16508	1.21	1094	268	24.50	114	10.42	9	Cancer Gene Census
ENSG00000141646	SMAD4	SMAD family member 4	18q21.2	protein_coding	9	969	0.93	386	16508	2.34	1094	136	12.43	291	26.60	9	Cancer Gene Census
ENSG00000143322	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1q25.2	protein_coding	9	969	0.93	299	16508	1.81	1094	760	69.47	14	1.28	9	Cancer Gene Census
ENSG00000145012	LPP	LIM domain containing preferred translocation partner in lipoma	3q27.3, 3q28	protein_coding	9	969	0.93	211	16508	1.28	1094	275	25.14	58	5.30	9	Cancer Gene Census
ENSG00000145819	ARHGAP26	Rho GTPase activating protein 26	5q31.3	protein_coding	9	969	0.93	204	16508	1.24	1094	185	16.91	170	15.54	9	Cancer Gene Census
ENSG00000147065	MSN	moesin	Xq12	protein_coding	9	969	0.93	177	16508	1.07	1094	0	0.00	0	0.00	10	Cancer Gene Census
ENSG00000148584	A1CF	APOBEC1 complementation factor	10q11.23	protein_coding	9	969	0.93	262	16508	1.59	1094	115	10.51	140	12.80	9	Cancer Gene Census
ENSG00000163399	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	1p13.1	protein_coding	9	969	0.93	194	16508	1.18	1094	165	15.08	220	20.11	9	Cancer Gene Census
ENSG00000165409	TSHR	thyroid stimulating hormone receptor	14q31.1	protein_coding	9	969	0.93	244	16508	1.48	1094	122	11.15	264	24.13	9	Cancer Gene Census
ENSG00000170759	KIF5B	kinesin family member 5B	10p11.22	protein_coding	9	969	0.93	181	16508	1.10	1094	222	20.29	117	10.69	9	Cancer Gene Census
ENSG00000176571	CNBD1	cyclic nucleotide binding domain containing 1	8q21.3	protein_coding	9	969	0.93	245	16508	1.48	1094	587	53.66	34	3.11	9	Cancer Gene Census
ENSG00000182944	EWSR1	EWS RNA binding protein 1	22q12.2	protein_coding	9	969	0.93	163	16508	0.99	1094	111	10.15	404	36.93	9	Cancer Gene Census
ENSG00000186174	BCL9L	BCL9 like	11q23.3	protein_coding	9	969	0.93	348	16508	2.11	1094	89	8.14	473	43.24	9	Cancer Gene Census
ENSG00000204843	DCTN1	dynactin subunit 1	2p13.1	protein_coding	9	969	0.93	275	16508	1.67	1094	164	14.99	109	9.96	11	Cancer Gene Census
ENSG00000010671	BTK	Bruton tyrosine kinase	Xq22.1	protein_coding	8	969	0.83	243	16508	1.47	1094	0	0.00	0	0.00	8	Cancer Gene Census
ENSG00000029725	RABEP1	rabaptin, RAB GTPase binding effector protein 1	17p13.2	protein_coding	8	969	0.83	149	16508	0.90	1094	67	6.12	537	49.09	8	Cancer Gene Census
ENSG00000076242	MLH1	mutL homolog 1	3p22.2	protein_coding	8	969	0.83	200	16508	1.21	1094	116	10.60	202	18.46	9	Cancer Gene Census
ENSG00000077150	NFKB2	nuclear factor kappa B subunit 2	10q24.32	protein_coding	8	969	0.83	159	16508	0.96	1094	95	8.68	228	20.84	10	Cancer Gene Census
ENSG00000078674	PCM1	pericentriolar material 1	8p22	protein_coding	8	969	0.83	231	16508	1.40	1094	139	12.71	518	47.35	8	Cancer Gene Census
ENSG00000082805	ERC1	ELKS/RAB6-interacting/CAST family member 1	12p13.33	protein_coding	8	969	0.83	229	16508	1.39	1094	236	21.57	113	10.33	9	Cancer Gene Census
ENSG00000097007	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9q34.12	protein_coding	8	969	0.83	262	16508	1.59	1094	134	12.25	206	18.83	8	Cancer Gene Census
ENSG00000101096	NFATC2	nuclear factor of activated T cells 2	20q13.2	protein_coding	8	969	0.83	327	16508	1.98	1094	459	41.96	30	2.74	8	Cancer Gene Census
ENSG00000102034	ELF4	E74 like ETS transcription factor 4	Xq26.1	protein_coding	8	969	0.83	175	16508	1.06	1094	0	0.00	0	0.00	10	Cancer Gene Census
ENSG00000104365	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta	8p11.21	protein_coding	8	969	0.83	214	16508	1.30	1094	387	35.37	184	16.82	9	Cancer Gene Census
ENSG00000108924	HLF	HLF transcription factor, PAR bZIP family member	17q22	protein_coding	8	969	0.83	107	16508	0.65	1094	338	30.90	154	14.08	8	Cancer Gene Census
ENSG00000116132	PRRX1	paired related homeobox 1	1q24.2	protein_coding	8	969	0.83	163	16508	0.99	1094	750	68.56	21	1.92	7	Cancer Gene Census
ENSG00000119508	NR4A3	nuclear receptor subfamily 4 group A member 3	9q31.1	protein_coding	8	969	0.83	162	16508	0.98	1094	130	11.88	231	21.12	8	Cancer Gene Census
ENSG00000131023	LATS1	large tumor suppressor kinase 1	6q25.1	protein_coding	8	969	0.83	285	16508	1.73	1094	150	13.71	290	26.51	9	Cancer Gene Census
ENSG00000134352	IL6ST	interleukin 6 signal transducer	5q11.2	protein_coding	8	969	0.83	186	16508	1.13	1094	169	15.45	208	19.01	10	Cancer Gene Census
ENSG00000134371	CDC73	cell division cycle 73	1q31.2	protein_coding	8	969	0.83	183	16508	1.11	1094	767	70.11	16	1.46	9	Cancer Gene Census
ENSG00000134853	PDGFRA	platelet derived growth factor receptor alpha	4q12	protein_coding	8	969	0.83	444	16508	2.69	1094	139	12.71	190	17.37	8	Cancer Gene Census
ENSG00000135605	TEC	transient erythroblastopenia of childhood	4p12, 4p11	protein_coding	8	969	0.83	146	16508	0.88	1094	98	8.96	193	17.64	8	Cancer Gene Census
ENSG00000140262	TCF12	transcription factor 12	15q21.3	protein_coding	8	969	0.83	191	16508	1.16	1094	74	6.76	262	23.95	8	Cancer Gene Census
ENSG00000140396	NCOA2	nuclear receptor coactivator 2	8q13.3	protein_coding	8	969	0.83	308	16508	1.87	1094	553	50.55	39	3.56	10	Cancer Gene Census
ENSG00000143549	TPM3	tropomyosin 3	1q21.3	protein_coding	8	969	0.83	116	16508	0.70	1094	751	68.65	12	1.10	8	Cancer Gene Census
ENSG00000157168	NRG1	neuregulin 1	8p12	protein_coding	8	969	0.83	449	16508	2.72	1094	180	16.45	454	41.50	8	Cancer Gene Census
ENSG00000157554	ERG	ETS transcription factor ERG	21q22.2	protein_coding	8	969	0.83	217	16508	1.31	1094	226	20.66	137	12.52	8	Cancer Gene Census
ENSG00000164985	PSIP1	PC4 and SFRS1 interacting protein 1	9p22.3	protein_coding	8	969	0.83	157	16508	0.95	1094	160	14.63	265	24.22	8	Cancer Gene Census
ENSG00000165699	TSC1	TSC complex subunit 1	9q34.13	protein_coding	8	969	0.83	273	16508	1.65	1094	136	12.43	202	18.46	8	Cancer Gene Census
ENSG00000168172	HOOK3	hook microtubule tethering protein 3	8p11.21	protein_coding	8	969	0.83	158	16508	0.96	1094	386	35.28	179	16.36	8	Cancer Gene Census
ENSG00000168769	TET2	tet methylcytosine dioxygenase 2	4q24	protein_coding	8	969	0.83	335	16508	2.03	1094	98	8.96	246	22.49	8	Cancer Gene Census
ENSG00000179094	PER1	period circadian regulator 1	17p13.1	protein_coding	8	969	0.83	243	16508	1.47	1094	52	4.75	555	50.73	13	Cancer Gene Census
ENSG00000184481	FOXO4	forkhead box O4	Xq13.1	protein_coding	8	969	0.83	147	16508	0.89	1094	0	0.00	0	0.00	8	Cancer Gene Census
ENSG00000184507	NUTM1	NUT midline carcinoma family member 1	15q14	protein_coding	8	969	0.83	311	16508	1.88	1094	71	6.49	284	25.96	8	Cancer Gene Census
ENSG00000187741	FANCA	FA complementation group A	16q24.3	protein_coding	8	969	0.83	257	16508	1.56	1094	24	2.19	129	11.79	9	Cancer Gene Census
ENSG00000198795	ZNF521	zinc finger protein 521	18q11.2	protein_coding	8	969	0.83	537	16508	3.25	1094	161	14.72	234	21.39	10	Cancer Gene Census
ENSG00000070371	CLTCL1	clathrin heavy chain like 1	22q11.21	protein_coding	7	969	0.72	315	16508	1.91	1094	110	10.05	363	33.18	7	Cancer Gene Census
ENSG00000079432	CIC	capicua transcriptional repressor	19q13.2	protein_coding	7	969	0.72	464	16508	2.81	1094	208	19.01	122	11.15	7	Cancer Gene Census
ENSG00000105568	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	19q13.41	protein_coding	7	969	0.72	288	16508	1.74	1094	242	22.12	100	9.14	7	Cancer Gene Census
ENSG00000110395	CBL	Cbl proto-oncogene	11q23.3	protein_coding	7	969	0.72	206	16508	1.25	1094	84	7.68	478	43.69	9	Cancer Gene Census
ENSG00000110841	PPFIBP1	PPFIA binding protein 1	12p11.23, 12p11.22	protein_coding	7	969	0.72	194	16508	1.18	1094	222	20.29	94	8.59	7	Cancer Gene Census
ENSG00000116251	RPL22	ribosomal protein L22	1p36.31	protein_coding	7	969	0.72	264	16508	1.60	1094	76	6.95	354	32.36	2	Cancer Gene Census
ENSG00000121067	SPOP	speckle type BTB/POZ protein	17q21.33	protein_coding	7	969	0.72	207	16508	1.25	1094	320	29.25	172	15.72	7	Cancer Gene Census
ENSG00000122025	FLT3	fms related receptor tyrosine kinase 3	13q12.2	protein_coding	7	969	0.72	440	16508	2.67	1094	121	11.06	318	29.07	7	Cancer Gene Census
ENSG00000122566	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	7p15.2	protein_coding	7	969	0.72	168	16508	1.02	1094	311	28.43	69	6.31	8	Cancer Gene Census
ENSG00000127152	BCL11B	BAF chromatin remodeling complex subunit BCL11B	14q32.2	protein_coding	7	969	0.72	352	16508	2.13	1094	93	8.50	241	22.03	7	Cancer Gene Census
ENSG00000128487	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	17p11.2	protein_coding	7	969	0.72	284	16508	1.72	1094	116	10.60	420	38.39	8	Cancer Gene Census
ENSG00000129204	USP6	ubiquitin specific peptidase 6	17p13.2	protein_coding	7	969	0.72	348	16508	2.11	1094	71	6.49	532	48.63	7	Cancer Gene Census
ENSG00000131653	TRAF7	TNF receptor associated factor 7	16p13.3	protein_coding	7	969	0.72	152	16508	0.92	1094	502	45.89	51	4.66	7	Cancer Gene Census
ENSG00000133703	KRAS	KRAS proto-oncogene, GTPase	12p12.1	protein_coding	7	969	0.72	1763	16508	10.68	1094	224	20.48	93	8.50	5	Cancer Gene Census
ENSG00000140937	CDH11	cadherin 11	16q21	protein_coding	7	969	0.72	493	16508	2.99	1094	92	8.41	603	55.12	7	Cancer Gene Census
ENSG00000143924	EML4	EMAP like 4	2p21	protein_coding	7	969	0.72	196	16508	1.19	1094	163	14.90	112	10.24	7	Cancer Gene Census
ENSG00000148737	TCF7L2	transcription factor 7 like 2	10q25.2, 10q25.3	protein_coding	7	969	0.72	301	16508	1.82	1094	98	8.96	244	22.30	7	Cancer Gene Census
ENSG00000151348	EXT2	exostosin glycosyltransferase 2	11p11.2	protein_coding	7	969	0.72	158	16508	0.96	1094	178	16.27	142	12.98	7	Cancer Gene Census
ENSG00000152894	PTPRK	protein tyrosine phosphatase receptor type K	6q22.33	protein_coding	7	969	0.72	420	16508	2.54	1094	161	14.72	272	24.86	8	Cancer Gene Census
ENSG00000157764	BRAF	B-Raf proto-oncogene, serine/threonine kinase	7q34	protein_coding	7	969	0.72	964	16508	5.84	1094	268	24.50	117	10.69	7	Cancer Gene Census
ENSG00000160867	FGFR4	fibroblast growth factor receptor 4	5q35.2	protein_coding	7	969	0.72	236	16508	1.43	1094	237	21.66	139	12.71	7	Cancer Gene Census
ENSG00000162775	RBM15	RNA binding motif protein 15	1p13.3	protein_coding	7	969	0.72	221	16508	1.34	1094	138	12.61	235	21.48	7	Cancer Gene Census
ENSG00000163520	FBLN2	fibulin 2	3p25.1	protein_coding	7	969	0.72	285	16508	1.73	1094	168	15.36	134	12.25	8	Cancer Gene Census
ENSG00000164362	TERT	telomerase reverse transcriptase	5p15.33	protein_coding	7	969	0.72	258	16508	1.56	1094	335	30.62	72	6.58	7	Cancer Gene Census
ENSG00000164754	RAD21	RAD21 cohesin complex component	8q24.11	protein_coding	7	969	0.72	197	16508	1.19	1094	628	57.40	24	2.19	8	Cancer Gene Census
ENSG00000165238	WNK2	WNK lysine deficient protein kinase 2	9q22.31	protein_coding	7	969	0.72	464	16508	2.81	1094	135	12.34	217	19.84	7	Cancer Gene Census
ENSG00000173757	STAT5B	signal transducer and activator of transcription 5B	17q21.2	protein_coding	7	969	0.72	206	16508	1.25	1094	202	18.46	288	26.33	7	Cancer Gene Census
ENSG00000175595	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	16p13.12	protein_coding	7	969	0.72	198	16508	1.20	1094	498	45.52	48	4.39	9	Cancer Gene Census
ENSG00000178691	SUZ12	SUZ12 polycomb repressive complex 2 subunit	17q11.2	protein_coding	7	969	0.72	148	16508	0.90	1094	187	17.09	274	25.05	7	Cancer Gene Census
ENSG00000179583	CIITA	class II major histocompatibility complex transactivator	16p13.13	protein_coding	7	969	0.72	321	16508	1.94	1094	500	45.70	48	4.39	7	Cancer Gene Census
ENSG00000182197	EXT1	exostosin glycosyltransferase 1	8q24.11	protein_coding	7	969	0.72	215	16508	1.30	1094	623	56.95	28	2.56	8	Cancer Gene Census
ENSG00000183765	CHEK2	checkpoint kinase 2	22q12.1	protein_coding	7	969	0.72	166	16508	1.01	1094	110	10.05	400	36.56	7	Cancer Gene Census
ENSG00000184937	WT1	WT1 transcription factor	11p13	protein_coding	7	969	0.72	329	16508	1.99	1094	200	18.28	136	12.43	8	Cancer Gene Census
ENSG00000048471	SNX29	sorting nexin 29	16p13.13, 16p13.12	protein_coding	6	969	0.62	220	16508	1.33	1094	497	45.43	52	4.75	6	Cancer Gene Census
ENSG00000049540	ELN	elastin	7q11.23	protein_coding	6	969	0.62	238	16508	1.44	1094	281	25.69	78	7.13	6	Cancer Gene Census
ENSG00000067560	RHOA	ras homolog family member A	3p21.31	protein_coding	6	969	0.62	143	16508	0.87	1094	81	7.40	278	25.41	5	Cancer Gene Census
ENSG00000072062	PRKACA	protein kinase cAMP-activated catalytic subunit alpha	19p13.12	protein_coding	6	969	0.62	112	16508	0.68	1094	202	18.46	138	12.61	6	Cancer Gene Census
ENSG00000080824	HSP90AA1	heat shock protein 90 alpha family class A member 1	14q32.31	protein_coding	6	969	0.62	190	16508	1.15	1094	120	10.97	222	20.29	6	Cancer Gene Census
ENSG00000083799	CYLD	CYLD lysine 63 deubiquitinase	16q12.1	protein_coding	6	969	0.62	242	16508	1.47	1094	124	11.33	527	48.17	7	Cancer Gene Census
ENSG00000084676	NCOA1	nuclear receptor coactivator 1	2p23.3	protein_coding	6	969	0.62	288	16508	1.74	1094	157	14.35	140	12.80	6	Cancer Gene Census
ENSG00000095002	MSH2	mutS homolog 2	2p21, 2p16.3	protein_coding	6	969	0.62	206	16508	1.25	1094	172	15.72	102	9.32	6	Cancer Gene Census
ENSG00000099949	LZTR1	leucine zipper like transcription regulator 1	22q11.21	protein_coding	6	969	0.62	276	16508	1.67	1094	118	10.79	377	34.46	6	Cancer Gene Census
ENSG00000100644	HIF1A	hypoxia inducible factor 1 subunit alpha	14q23.2	protein_coding	6	969	0.62	177	16508	1.07	1094	143	13.07	227	20.75	8	Cancer Gene Census
ENSG00000104320	NBN	nibrin	8q21.3	protein_coding	6	969	0.62	191	16508	1.16	1094	607	55.48	27	2.47	6	Cancer Gene Census
ENSG00000104408	EIF3E	eukaryotic translation initiation factor 3 subunit E	8q23.1	protein_coding	6	969	0.62	148	16508	0.90	1094	628	57.40	28	2.56	5	Cancer Gene Census
ENSG00000105656	ELL	elongation factor for RNA polymerase II	19p13.11	protein_coding	6	969	0.62	129	16508	0.78	1094	215	19.65	119	10.88	6	Cancer Gene Census
